date,hold,buy,sell,choice,episode
2017-01-03,-1,-1,-1,2,0
2017-01-04,-1,-1,-1,0,0
2017-01-05,-1,-1,-1,2,0
2017-01-06,-1,-1,-1,1,0
2017-01-09,-1,-1,-1,1,0
2017-01-10,-1,-1,-1,2,0
2017-01-11,-1,-1,-1,0,0
2017-01-12,-1,-1,-1,1,0
2017-01-13,-1,-1,-1,0,0
2017-01-17,-1,-1,-1,2,0
2017-01-18,-1,-1,-1,1,0
2017-01-19,-1,-1,-1,1,0
2017-01-20,-1,-1,-1,2,0
2017-01-23,-1,-1,-1,0,0
2017-01-24,-1,-1,-1,2,0
2017-01-25,-1,-1,-1,0,0
2017-01-26,-1,-1,-1,2,0
2017-01-27,-1,-1,-1,0,0
2017-01-30,-1,-1,-1,2,0
2017-01-31,-1,-1,-1,2,0
2017-02-01,-1,-1,-1,0,0
2017-02-02,-1,-1,-1,0,0
2017-02-03,-1,-1,-1,2,0
2017-02-06,-1,-1,-1,1,0
2017-02-07,-1,-1,-1,1,0
2017-02-08,-1,-1,-1,1,0
2017-02-09,-1,-1,-1,1,0
2017-02-10,-1,-1,-1,2,0
2017-02-13,-1,-1,-1,1,0
2017-02-14,-1,-1,-1,2,0
2017-02-15,-1,-1,-1,1,0
2017-02-16,-1,-1,-1,1,0
2017-02-17,-1,-1,-1,2,0
2017-02-21,-1,-1,-1,0,0
2017-02-22,-1,-1,-1,0,0
2017-02-23,-1,-1,-1,0,0
2017-02-24,-1,-1,-1,0,0
2017-02-27,-1,-1,-1,0,0
2017-02-28,-1,-1,-1,1,0
2017-03-01,-1,-1,-1,0,0
2017-03-02,-1,-1,-1,0,0
2017-03-03,-1,-1,-1,2,0
2017-03-06,-1,-1,-1,1,0
2017-03-07,-1,-1,-1,1,0
2017-03-08,-1,-1,-1,1,0
2017-03-09,-1,-1,-1,0,0
2017-03-10,34.52822494506836,36.68928146362305,37.457725524902344,2,0
2017-03-13,32.664306640625,34.762046813964844,35.235443115234375,2,0
2017-03-14,-1,-1,-1,1,0
2017-03-15,-1,-1,-1,1,0
2017-03-16,-1,-1,-1,0,0
2017-03-17,-1,-1,-1,1,0
2017-03-20,-1,-1,-1,2,0
2017-03-21,-1,-1,-1,1,0
2017-03-22,-1,-1,-1,2,0
2017-03-23,-1,-1,-1,1,0
2017-03-24,-1,-1,-1,1,0
2017-03-27,-1,-1,-1,0,0
2017-03-28,21.015933990478516,20.775550842285156,19.162841796875,0,0
2017-03-29,-1,-1,-1,1,0
2017-03-30,-1,-1,-1,2,0
2017-03-31,17.159854888916016,17.147737503051758,16.294384002685547,0,0
2017-04-03,-1,-1,-1,1,0
2017-04-04,-1,-1,-1,2,0
2017-04-05,13.934819221496582,14.429332733154297,13.036089897155762,1,0
2017-04-06,14.205615043640137,14.746969223022461,13.650643348693848,1,0
2017-04-07,-1,-1,-1,1,0
2017-04-10,-1,-1,-1,2,0
2017-04-11,12.448997497558594,13.140273094177246,11.723764419555664,1,0
2017-04-12,11.86823558807373,12.495416641235352,11.26024341583252,1,0
2017-04-13,11.32531452178955,11.875925064086914,10.88968276977539,1,0
2017-04-17,-1,-1,-1,0,0
2017-04-18,-1,-1,-1,2,0
2017-04-19,10.327702522277832,10.893741607666016,10.28322696685791,1,0
2017-04-20,-1,-1,-1,1,0
2017-04-21,8.969478607177734,9.86262321472168,9.364851951599121,1,0
2017-04-24,-1,-1,-1,1,0
2017-04-25,-1,-1,-1,1,0
2017-04-26,-1,-1,-1,1,0
2017-04-27,8.145814895629883,9.102861404418945,9.118613243103027,2,0
2017-04-28,-1,-1,-1,2,0
2017-05-01,5.932674407958984,7.174156188964844,6.6324462890625,1,0
2017-05-02,-1,-1,-1,0,0
2017-05-03,-1,-1,-1,1,0
2017-05-04,-1,-1,-1,2,0
2017-05-05,5.903537750244141,6.803584575653076,6.462311744689941,1,0
2017-05-08,-1,-1,-1,0,0
2017-05-09,6.4280266761779785,6.897282123565674,6.874324321746826,1,0
2017-05-10,-1,-1,-1,2,0
2017-05-11,-1,-1,-1,2,0
2017-05-12,-1,-1,-1,0,0
2017-05-15,-1,-1,-1,1,0
2017-05-16,5.7799153327941895,5.5138654708862305,5.179937362670898,0,0
2017-05-17,-1,-1,-1,1,0
2017-05-18,-1,-1,-1,0,0
2017-05-19,6.98080587387085,6.768852710723877,7.1499199867248535,2,0
2017-05-22,-1,-1,-1,2,0
2017-05-23,-1,-1,-1,1,0
2017-05-24,6.716054439544678,6.701861381530762,7.149278163909912,2,0
2017-05-25,-1,-1,-1,0,0
2017-05-26,7.3441338539123535,7.382309436798096,8.073381423950195,2,0
2017-05-30,7.540862560272217,7.577975749969482,8.247736930847168,2,0
2017-05-31,-1,-1,-1,2,0
2017-06-01,-1,-1,-1,2,0
2017-06-02,-1,-1,-1,2,0
2017-06-05,-1,-1,-1,1,0
2017-06-06,-1,-1,-1,0,0
2017-06-07,-1,-1,-1,2,0
2017-06-08,12.986855506896973,12.786110877990723,14.551501274108887,2,0
2017-06-09,-1,-1,-1,0,0
2017-06-12,14.591165542602539,14.145791053771973,16.08652114868164,2,0
2017-06-13,16.228633880615234,15.668069839477539,17.828336715698242,2,0
2017-06-14,-1,-1,-1,0,0
2017-06-15,-1,-1,-1,2,0
2017-06-16,17.980249404907227,16.988645553588867,19.6986141204834,2,0
2017-06-19,19.79582405090332,18.508989334106445,21.32708168029785,2,0
2017-06-20,18.78306007385254,17.497133255004883,19.94691276550293,2,0
2017-06-21,19.462623596191406,18.090892791748047,20.250246047973633,2,0
2017-06-22,-1,-1,-1,2,0
2017-06-23,-1,-1,-1,2,0
2017-06-26,17.931842803955078,17.012300491333008,18.230693817138672,2,0
2017-06-27,17.262710571289062,16.510971069335938,17.274253845214844,2,0
2017-06-28,-1,-1,-1,2,0
2017-06-29,-1,-1,-1,2,0
2017-06-30,-1,-1,-1,1,0
2017-07-03,14.413116455078125,14.248889923095703,14.394631385803223,0,0
2017-07-05,-1,-1,-1,2,0
2017-07-06,13.356093406677246,13.34293270111084,13.091053009033203,0,0
2017-07-07,-1,-1,-1,1,0
2017-07-10,-1,-1,-1,2,0
2017-07-11,-1,-1,-1,2,0
2017-07-12,-1,-1,-1,0,0
2017-07-13,12.899486541748047,12.739246368408203,12.538579940795898,0,0
2017-07-14,-1,-1,-1,1,0
2017-07-17,11.563970565795898,11.560754776000977,11.359021186828613,0,0
2017-07-18,11.059755325317383,11.133932113647461,10.640839576721191,1,0
2017-07-19,-1,-1,-1,2,0
2017-07-20,-1,-1,-1,0,0
2017-07-21,-1,-1,-1,0,0
2017-07-24,8.233022689819336,8.463937759399414,8.168767929077148,1,0
2017-07-25,7.780398368835449,8.078368186950684,7.583524703979492,1,0
2017-07-26,-1,-1,-1,0,0
2017-07-27,-1,-1,-1,1,0
2017-07-28,-1,-1,-1,0,0
2017-07-31,-1,-1,-1,2,0
2017-08-01,6.520092010498047,6.811600685119629,6.512059211730957,1,0
2017-08-02,-1,-1,-1,2,0
2017-08-03,-1,-1,-1,0,0
2017-08-04,-1,-1,-1,1,0
2017-08-07,5.691807270050049,5.947971343994141,5.734642028808594,1,0
2017-08-08,5.290724754333496,5.526668071746826,5.289417266845703,1,0
2017-08-09,-1,-1,-1,1,0
2017-08-10,3.8214614391326904,4.038356304168701,3.750701665878296,1,0
2017-08-11,4.933854103088379,4.99674129486084,5.159208297729492,2,0
2017-08-14,-1,-1,-1,0,0
2017-08-15,-1,-1,-1,0,0
2017-08-16,-1,-1,-1,2,0
2017-08-17,2.9171640872955322,3.038555145263672,3.043842315673828,2,0
2017-08-18,-1,-1,-1,2,0
2017-08-21,4.308627605438232,4.3091840744018555,4.590729236602783,2,0
2017-08-22,4.044156551361084,4.054610252380371,4.231100559234619,2,0
2017-08-23,-1,-1,-1,2,0
2017-08-24,-1,-1,-1,0,0
2017-08-25,3.1208384037017822,3.218602180480957,3.082442283630371,1,0
2017-08-28,3.035367250442505,3.1437594890594482,2.990821361541748,1,0
2017-08-29,-1,-1,-1,0,0
2017-08-30,-1,-1,-1,1,0
2017-08-31,-1,-1,-1,0,0
2017-09-01,-1,-1,-1,0,0
2017-09-05,2.445308208465576,2.526322603225708,2.2648839950561523,1,0
2017-09-06,2.9690780639648438,3.044377326965332,2.968435049057007,1,0
2017-09-07,2.572516679763794,2.6780776977539062,2.532987117767334,1,0
2017-09-08,2.4783618450164795,2.5877845287323,2.479534149169922,1,0
2017-09-11,2.6552982330322266,2.7383384704589844,2.6633033752441406,1,0
2017-09-12,2.4422359466552734,2.5303750038146973,2.429307460784912,1,0
2017-09-13,-1,-1,-1,1,0
2017-09-14,-1,-1,-1,1,0
2017-09-15,1.9383876323699951,2.004183530807495,1.8805691003799438,1,0
2017-09-18,1.683688759803772,1.7470784187316895,1.597224235534668,1,0
2017-09-19,-1,-1,-1,0,0
2017-09-20,-1,-1,-1,0,0
2017-09-21,1.080540657043457,1.1824486255645752,1.0009725093841553,1,0
2017-09-22,-1,-1,-1,2,0
2017-09-25,-1,-1,-1,2,0
