date,hold,buy,sell,choice,episode
2017-01-03,-1,-1,-1,1,0
2017-01-04,-1,-1,-1,2,0
2017-01-05,-1,-1,-1,2,0
2017-01-06,-1,-1,-1,1,0
2017-01-09,-1,-1,-1,1,0
2017-01-10,-1,-1,-1,0,0
2017-01-11,-1,-1,-1,2,0
2017-01-12,-1,-1,-1,2,0
2017-01-13,-1,-1,-1,1,0
2017-01-17,-1,-1,-1,0,0
2017-01-18,-1,-1,-1,2,0
2017-01-19,-1,-1,-1,0,0
2017-01-20,-1,-1,-1,0,0
2017-01-23,-1,-1,-1,2,0
2017-01-24,-1,-1,-1,0,0
2017-01-25,-1,-1,-1,1,0
2017-01-26,-1,-1,-1,2,0
2017-01-27,-1,-1,-1,0,0
2017-01-30,-1,-1,-1,2,0
2017-01-31,-1,-1,-1,0,0
2017-02-01,-1,-1,-1,2,0
2017-02-02,-1,-1,-1,0,0
2017-02-03,-1,-1,-1,0,0
2017-02-06,-1,-1,-1,1,0
2017-02-07,-1,-1,-1,1,0
2017-02-08,-1,-1,-1,2,0
2017-02-09,-1,-1,-1,1,0
2017-02-10,-1,-1,-1,2,0
2017-02-13,-1,-1,-1,2,0
2017-02-14,-1,-1,-1,2,0
2017-02-15,-1,-1,-1,2,0
2017-02-16,-1,-1,-1,0,0
2017-02-17,-1,-1,-1,0,0
2017-02-21,-1,-1,-1,0,0
2017-02-22,-1,-1,-1,1,0
2017-02-23,-1,-1,-1,1,0
2017-02-24,-1,-1,-1,0,0
2017-02-27,-1,-1,-1,1,0
2017-02-28,-1,-1,-1,0,0
2017-03-01,-1,-1,-1,2,0
2017-03-02,-1,-1,-1,2,0
2017-03-03,-1,-1,-1,0,0
2017-03-06,4.0008134841918945,3.9969749450683594,3.956073760986328,0,0
2017-03-07,-1,-1,-1,2,0
2017-03-08,-1,-1,-1,0,0
2017-03-09,-1,-1,-1,0,0
2017-03-10,-1,-1,-1,0,0
2017-03-13,-1,-1,-1,2,0
2017-03-14,-1,-1,-1,1,0
2017-03-15,-1,-1,-1,2,0
2017-03-16,-1,-1,-1,0,0
2017-03-17,-1,-1,-1,0,0
2017-03-20,2.165637493133545,2.1212735176086426,2.2585153579711914,2,0
2017-03-21,-1,-1,-1,1,0
2017-03-22,-1,-1,-1,1,0
2017-03-23,-1,-1,-1,0,0
2017-03-24,-1,-1,-1,2,0
2017-03-27,-1,-1,-1,1,0
2017-03-28,-1,-1,-1,2,0
2017-03-29,-1,-1,-1,0,0
2017-03-30,-1,-1,-1,0,0
2017-03-31,-1,-1,-1,2,0
2017-04-03,-1,-1,-1,0,0
2017-04-04,1.6972819566726685,1.7139300107955933,1.7803515195846558,2,0
2017-04-05,-1,-1,-1,2,0
2017-04-06,-1,-1,-1,2,0
2017-04-07,1.6817786693572998,1.7529507875442505,1.7724627256393433,2,0
2017-04-10,-1,-1,-1,1,0
2017-04-11,1.589779257774353,1.6847020387649536,1.6759759187698364,1,0
2017-04-12,1.5343786478042603,1.6212513446807861,1.6170248985290527,1,0
2017-04-13,-1,-1,-1,1,0
2017-04-17,1.497566819190979,1.5264649391174316,1.5665175914764404,2,0
2017-04-18,-1,-1,-1,2,0
2017-04-19,-1,-1,-1,0,0
2017-04-20,1.222451090812683,1.281384825706482,1.2839245796203613,2,0
2017-04-21,-1,-1,-1,1,0
2017-04-24,1.1648443937301636,1.1784477233886719,1.2116167545318604,2,0
2017-04-25,-1,-1,-1,2,0
2017-04-26,-1,-1,-1,2,0
2017-04-27,-1,-1,-1,1,0
2017-04-28,-1,-1,-1,1,0
2017-05-01,-1,-1,-1,1,0
2017-05-02,-1,-1,-1,0,0
2017-05-03,1.5475914478302002,1.516668677330017,1.6140906810760498,2,0
2017-05-04,-1,-1,-1,2,0
2017-05-05,-1,-1,-1,1,0
2017-05-08,-1,-1,-1,2,0
2017-05-09,1.7201482057571411,1.6812360286712646,1.787967324256897,2,0
2017-05-10,1.8047369718551636,1.760562539100647,1.872354507446289,2,0
2017-05-11,-1,-1,-1,1,0
2017-05-12,-1,-1,-1,1,0
2017-05-15,-1,-1,-1,1,0
2017-05-16,1.6892869472503662,1.6939890384674072,1.7441099882125854,2,0
2017-05-17,-1,-1,-1,1,0
2017-05-18,-1,-1,-1,2,0
2017-05-19,1.658829689025879,1.5685135126113892,1.669438123703003,2,0
2017-05-22,-1,-1,-1,2,0
2017-05-23,1.594306468963623,1.509290099143982,1.6070897579193115,2,0
2017-05-24,-1,-1,-1,0,0
2017-05-25,1.7168291807174683,1.692888855934143,1.754791498184204,2,0
2017-05-26,1.705519199371338,1.6639128923416138,1.7446545362472534,2,0
2017-05-30,-1,-1,-1,1,0
2017-05-31,1.563489556312561,1.6055821180343628,1.6168670654296875,2,0
2017-06-01,1.7304751873016357,1.6943962574005127,1.7628062963485718,2,0
2017-06-02,1.7121970653533936,1.6900765895843506,1.7527681589126587,2,0
2017-06-05,1.6312977075576782,1.635016679763794,1.6772913932800293,2,0
2017-06-06,-1,-1,-1,2,0
2017-06-07,-1,-1,-1,1,0
2017-06-08,-1,-1,-1,0,0
2017-06-09,1.1187219619750977,1.1713749170303345,1.151742935180664,1,0
2017-06-12,-1,-1,-1,1,0
2017-06-13,-1,-1,-1,0,0
2017-06-14,0.8951621651649475,0.8713133931159973,0.91065913438797,2,0
2017-06-15,0.7940497994422913,0.822597324848175,0.8253949880599976,2,0
2017-06-16,0.8313199877738953,0.8022806644439697,0.846782922744751,2,0
2017-06-19,0.8335995674133301,0.8118604421615601,0.8526702523231506,2,0
2017-06-20,-1,-1,-1,2,0
2017-06-21,-1,-1,-1,1,0
2017-06-22,-1,-1,-1,0,0
2017-06-23,-1,-1,-1,2,0
2017-06-26,-1,-1,-1,0,0
2017-06-27,-1,-1,-1,0,0
2017-06-28,-1,-1,-1,0,0
2017-06-29,-1,-1,-1,1,0
2017-06-30,-1,-1,-1,0,0
2017-07-03,-1,-1,-1,0,0
2017-07-05,-1,-1,-1,2,0
2017-07-06,0.5994091629981995,0.6544559001922607,0.6481133103370667,1,0
2017-07-07,0.6428951025009155,0.6473506689071655,0.6788712739944458,2,0
2017-07-10,-1,-1,-1,1,0
2017-07-11,-1,-1,-1,0,0
2017-07-12,0.6395716667175293,0.6414930820465088,0.6723284125328064,2,0
2017-07-13,-1,-1,-1,2,0
2017-07-14,0.7097014784812927,0.7107065916061401,0.7452579736709595,2,0
2017-07-17,-1,-1,-1,2,0
2017-07-18,0.8194928169250488,0.8309662938117981,0.8453863859176636,2,0
2017-07-19,-1,-1,-1,2,0
2017-07-20,-1,-1,-1,2,0
2017-07-21,-1,-1,-1,0,0
2017-07-24,-1,-1,-1,1,0
2017-07-25,-1,-1,-1,2,0
2017-07-26,-1,-1,-1,0,0
2017-07-27,0.8405046463012695,0.8587714433670044,0.8849564790725708,2,0
2017-07-28,0.8561611771583557,0.8785364031791687,0.8975128531455994,2,0
2017-07-31,-1,-1,-1,2,0
2017-08-01,0.8224487900733948,0.8142054080963135,0.8693702816963196,2,0
2017-08-02,0.7769847512245178,0.798738420009613,0.8168548345565796,2,0
2017-08-03,-1,-1,-1,0,0
2017-08-04,0.7339872717857361,0.7470585703849792,0.7736091017723083,2,0
2017-08-07,-1,-1,-1,0,0
2017-08-08,0.6855407953262329,0.7132030129432678,0.7219038009643555,2,0
2017-08-09,0.6751612424850464,0.7090215086936951,0.7099854946136475,2,0
2017-08-10,-1,-1,-1,1,0
2017-08-11,-1,-1,-1,0,0
2017-08-14,-1,-1,-1,2,0
2017-08-15,-1,-1,-1,0,0
2017-08-16,-1,-1,-1,2,0
2017-08-17,0.6589629054069519,0.708512544631958,0.6878528594970703,1,0
2017-08-18,0.6732628345489502,0.680477499961853,0.7100794315338135,2,0
2017-08-21,0.6823098659515381,0.6744282245635986,0.719723105430603,2,0
2017-08-22,0.6772780418395996,0.6932958960533142,0.7041139602661133,2,0
2017-08-23,-1,-1,-1,1,0
2017-08-24,-1,-1,-1,0,0
2017-08-25,-1,-1,-1,2,0
2017-08-28,-1,-1,-1,0,0
2017-08-29,-1,-1,-1,2,0
2017-08-30,-1,-1,-1,2,0
2017-08-31,-1,-1,-1,2,0
2017-09-01,-1,-1,-1,0,0
