date,hold,buy,sell,choice,episode
2017-01-03,-1,-1,-1,1,0
2017-01-04,-1,-1,-1,2,0
2017-01-05,-1,-1,-1,2,0
2017-01-06,-1,-1,-1,1,0
2017-01-09,-1,-1,-1,1,0
2017-01-10,-1,-1,-1,0,0
2017-01-11,-1,-1,-1,0,0
2017-01-12,-1,-1,-1,1,0
2017-01-13,-1,-1,-1,2,0
2017-01-17,-1,-1,-1,0,0
2017-01-18,-1,-1,-1,0,0
2017-01-19,-1,-1,-1,1,0
2017-01-20,-1,-1,-1,0,0
2017-01-23,-1,-1,-1,0,0
2017-01-24,-1,-1,-1,0,0
2017-01-25,-1,-1,-1,0,0
2017-01-26,-1,-1,-1,0,0
2017-01-27,-1,-1,-1,0,0
2017-01-30,-1,-1,-1,2,0
2017-01-31,-1,-1,-1,1,0
2017-02-01,-1,-1,-1,0,0
2017-02-02,-1,-1,-1,1,0
2017-02-03,-1,-1,-1,2,0
2017-02-06,-1,-1,-1,2,0
2017-02-07,-1,-1,-1,0,0
2017-02-08,-1,-1,-1,2,0
2017-02-09,-1,-1,-1,1,0
2017-02-10,-1,-1,-1,2,0
2017-02-13,-1,-1,-1,2,0
2017-02-14,-1,-1,-1,2,0
2017-02-15,-1,-1,-1,1,0
2017-02-16,-1,-1,-1,0,0
2017-02-17,-1,-1,-1,2,0
2017-02-21,-1,-1,-1,1,0
2017-02-22,-1,-1,-1,0,0
2017-02-23,-1,-1,-1,2,0
2017-02-24,0.6149932146072388,0.6194851398468018,0.5324638485908508,1,0
2017-02-27,-1,-1,-1,1,0
2017-02-28,-1,-1,-1,1,0
2017-03-01,-1,-1,-1,2,0
2017-03-02,-1,-1,-1,2,0
2017-03-03,-1,-1,-1,2,0
2017-03-06,-1,-1,-1,1,0
2017-03-07,-1,-1,-1,2,0
2017-03-08,6.617599964141846,6.6521830558776855,6.669559478759766,2,0
2017-03-09,-1,-1,-1,1,0
2017-03-10,-1,-1,-1,0,0
2017-03-13,-1,-1,-1,0,0
2017-03-14,-1,-1,-1,1,0
2017-03-15,-1,-1,-1,1,0
2017-03-16,12.227806091308594,11.901957511901855,11.954375267028809,0,0
2017-03-17,-1,-1,-1,1,0
2017-03-20,12.886615753173828,12.967201232910156,12.995623588562012,2,0
2017-03-21,-1,-1,-1,1,0
2017-03-22,13.318037986755371,13.441205978393555,13.408528327941895,1,0
2017-03-23,13.217619895935059,13.652060508728027,13.459744453430176,1,0
2017-03-24,13.049592018127441,13.638395309448242,13.449542999267578,1,0
2017-03-27,12.78856086730957,13.108468055725098,12.96709156036377,1,0
2017-03-28,12.424884796142578,13.37271785736084,13.07300853729248,1,0
2017-03-29,12.72138786315918,12.820045471191406,12.70079231262207,1,0
2017-03-30,-1,-1,-1,0,0
2017-03-31,11.536871910095215,11.662078857421875,11.553656578063965,1,0
2017-04-03,-1,-1,-1,0,0
2017-04-04,11.668951988220215,11.894083976745605,11.744815826416016,1,0
2017-04-05,11.803793907165527,12.050882339477539,11.781307220458984,1,0
2017-04-06,12.560026168823242,12.611495971679688,12.448492050170898,1,0
2017-04-07,12.21921443939209,12.509366989135742,12.297371864318848,1,0
2017-04-10,12.290952682495117,12.334124565124512,12.199594497680664,1,0
2017-04-11,11.791993141174316,12.09404182434082,11.865565299987793,1,0
2017-04-12,11.646106719970703,11.846908569335938,11.66286563873291,1,0
2017-04-13,-1,-1,-1,2,0
2017-04-17,11.422341346740723,11.439671516418457,11.465484619140625,2,0
2017-04-18,10.44853401184082,10.729788780212402,10.686135292053223,1,0
2017-04-19,10.318385124206543,10.20775318145752,10.304963111877441,0,0
2017-04-20,10.151189804077148,10.264171600341797,10.255888938903809,1,0
2017-04-21,9.47092056274414,9.401899337768555,9.446382522583008,0,0
2017-04-24,9.767861366271973,9.571049690246582,9.655479431152344,0,0
2017-04-25,9.722552299499512,9.41460132598877,9.439451217651367,0,0
2017-04-26,9.2501802444458,9.259159088134766,9.11412239074707,1,0
2017-04-27,9.41315746307373,9.044734001159668,9.125738143920898,0,0
2017-04-28,8.83206558227539,8.724565505981445,8.736522674560547,0,0
2017-05-01,8.527457237243652,8.49109935760498,8.54505443572998,2,0
2017-05-02,8.03868293762207,8.100987434387207,8.118699073791504,2,0
2017-05-03,-1,-1,-1,0,0
2017-05-04,8.159786224365234,7.997982978820801,8.192445755004883,2,0
2017-05-05,8.708646774291992,8.553815841674805,8.757200241088867,2,0
2017-05-08,9.440450668334961,9.17043685913086,9.47371768951416,2,0
2017-05-09,10.703934669494629,10.152297019958496,10.621217727661133,0,0
2017-05-10,13.120668411254883,12.15346622467041,12.887594223022461,0,0
2017-05-11,-1,-1,-1,1,0
2017-05-12,20.454769134521484,18.236757278442383,19.832721710205078,0,0
2017-05-15,-1,-1,-1,2,0
2017-05-16,55.42585372924805,46.190460205078125,52.50945281982422,0,0
2017-05-17,97.63818359375,81.900390625,91.05872344970703,0,0
2017-05-18,174.117431640625,147.62828063964844,162.51219177246094,0,0
2017-05-19,285.83856201171875,244.03404235839844,267.398681640625,0,0
2017-05-22,427.1069641113281,365.4831848144531,400.40167236328125,0,0
2017-05-23,586.4998779296875,501.6529235839844,551.7000122070312,0,0
2017-05-24,823.6741943359375,705.0645141601562,777.061279296875,0,0
2017-05-25,1072.8828125,906.7213745117188,1011.0878295898438,0,0
2017-05-26,1276.3802490234375,1073.25732421875,1205.8880615234375,0,0
2017-05-30,1598.7152099609375,1342.780029296875,1519.169677734375,0,0
2017-05-31,1944.679443359375,1638.7861328125,1838.867431640625,0,0
2017-06-01,2172.39794921875,1835.365478515625,2042.62939453125,0,0
2017-06-02,2408.076416015625,2034.2694091796875,2268.587646484375,0,0
2017-06-05,2593.237060546875,2213.098388671875,2463.592529296875,0,0
2017-06-06,2627.234375,2232.3759765625,2506.07470703125,0,0
2017-06-07,2801.075439453125,2392.7451171875,2689.33984375,0,0
2017-06-08,2870.228515625,2455.2509765625,2756.1767578125,0,0
2017-06-09,3131.4404296875,2699.072998046875,3020.793701171875,0,0
2017-06-12,2958.952392578125,2569.361083984375,2856.095703125,0,0
2017-06-13,3135.066162109375,2761.777099609375,3050.0068359375,0,0
2017-06-14,2903.718994140625,2581.764892578125,2833.573486328125,0,0
2017-06-15,2913.7197265625,2617.42041015625,2848.459228515625,0,0
2017-06-16,2750.813720703125,2492.443115234375,2709.552734375,0,0
2017-06-19,2827.38037109375,2587.2412109375,2809.169677734375,0,0
2017-06-20,2585.500732421875,2378.78955078125,2573.613037109375,0,0
2017-06-21,2578.146240234375,2389.490478515625,2577.517333984375,0,0
2017-06-22,2495.787353515625,2324.860595703125,2510.53564453125,2,0
2017-06-23,2491.175048828125,2324.539794921875,2511.66650390625,2,0
2017-06-26,2474.15869140625,2311.48095703125,2497.4130859375,2,0
2017-06-27,2517.435546875,2354.49609375,2541.541748046875,2,0
2017-06-28,2459.5029296875,2304.901123046875,2486.712646484375,2,0
2017-06-29,2450.955078125,2299.99609375,2478.307861328125,2,0
2017-06-30,2293.833740234375,2150.12890625,2312.8369140625,2,0
2017-07-03,2277.2314453125,2139.205322265625,2288.257568359375,2,0
2017-07-05,2332.53369140625,2201.847412109375,2342.587158203125,2,0
2017-07-06,2188.75439453125,2075.169921875,2200.059814453125,2,0
2017-07-07,2218.705322265625,2110.14501953125,2225.07470703125,2,0
2017-07-10,2117.025390625,2022.8668212890625,2123.7236328125,2,0
2017-07-11,2055.67724609375,1972.864501953125,2059.827392578125,2,0
2017-07-12,2080.85498046875,2004.33154296875,2080.92724609375,2,0
2017-07-13,1984.21533203125,1919.861083984375,1984.176025390625,0,0
2017-07-14,1962.869873046875,1907.3734130859375,1960.3253173828125,0,0
2017-07-17,1846.7100830078125,1801.7838134765625,1842.2589111328125,0,0
2017-07-18,1871.47998046875,1834.9371337890625,1867.1754150390625,0,0
2017-07-19,1778.189453125,1747.650146484375,1771.29541015625,0,0
2017-07-20,1755.26513671875,1732.1239013671875,1749.04736328125,0,0
2017-07-21,1713.712890625,1697.909912109375,1708.2462158203125,0,0
2017-07-24,1638.916259765625,1628.974609375,1633.080810546875,0,0
2017-07-25,1643.869384765625,1641.5194091796875,1639.4224853515625,0,0
2017-07-26,1597.8096923828125,1600.8714599609375,1593.47412109375,1,0
